Station code,Location,Type,Longitude,Latitude,Start,End
KAIK,,GNSS Antenna,173.5337,-42.4255,2004-02-01T00:00:00Z,
CLRR,,GNSS Antenna,173.8154,-42.1446,2017-04-19T02:56:38Z,
CMBL,,GNSS Antenna,174.2138,-41.749,2004-01-27T00:00:01Z,
GDS1,,GNSS Antenna,173.6108,-41.9323,2016-11-16T00:21:00Z,2018-01-15T00:28:30Z
LOOK,,GNSS Antenna,173.4824,-42.0116,2017-06-15T03:16:40Z,
MUL1,,GNSS Antenna,173.4142,-42.0605,2016-11-16T04:35:30Z,2018-01-14T22:26:30Z
SEDD,,GNSS Antenna,174.1373,-41.6638,2016-11-14T06:04:09Z,
LOK1/GLOK,,GNSS Antenna,173.8184,-41.8595,2016-11-15T21:44:30Z,2017-11-01T21:07:01Z
WITH,,GNSS Antenna,173.9843,-41.5606,2009-11-10T00:05:01Z,
MRBL,,GNSS Antenna,172.7752,-42.6618,2014-07-02T02:05:38Z,
HANM,,GNSS Antenna,172.7928,-42.5528,2014-06-03T04:06:00Z,
