Station code,Location,Type,Longitude,Latitude,Start,End,Detection
BHW,10,Short Period Seismometer,174.8711,-41.4082,2003-06-14T10:00:00Z,,1
BSWZ,10,Short Period Seismometer,173.8757,-41.7149,2003-12-09T00:00:00Z,,1
CAW,10,Short Period Seismometer,175.0664,-41.1072,2003-05-20T02:00:00Z,,1
DSZ,10,Broadband Seismometer,171.8046,-41.745,1998-10-15T00:00:00Z,,1
DUWZ,10,Short Period Seismometer,173.9216,-40.8017,2003-12-10T00:00:00Z,,1
GVZ,10,Broadband Seismometer,173.0348,-42.9674,2012-12-04T05:00:00Z,,1
KHZ,10,Broadband Seismometer,173.539,-42.416,2003-08-06T00:00:00Z,,1
KIW,10,Short Period Seismometer,174.9097,-40.8609,2004-06-09T23:00:00Z,,1
LTZ,10,Broadband Seismometer,172.271,-42.7817,2004-02-27T04:02:00Z,,1
MQZ,10,Broadband Seismometer,172.6538,-43.7061,1998-10-23T02:59:00Z,,1
MRNZ,10,Short Period Seismometer,172.7577,-41.399,2015-04-02T00:00:05Z,,1
MTW,10,Short Period Seismometer,175.5016,-41.1579,2003-06-17T07:55:00Z,,1
NNZ,10,Broadband Seismometer,173.3795,-41.2171,2003-08-12T00:00:00Z,,1
OGWZ,10,Short Period Seismometer,175.1703,-40.8167,2007-09-24T01:15:00Z,,1
TCW,10,Short Period Seismometer,174.2763,-41.2104,2005-04-20T14:49:00Z,,1
THZ,10,Broadband Seismometer,172.9052,-41.7625,2003-08-08T03:21:00Z,,1
TKNZ,10,Short Period Seismometer,172.9605,-41.0336,2014-06-18T00:00:10Z,,1
TUWZ,10,Short Period Seismometer,173.9429,-41.4294,2004-05-05T00:00:00Z,,1
WEL,10,Broadband Seismometer,174.7682,-41.284,2008-12-18T01:15:00Z,,1
CMWZ,10,Short Period Seismometer,174.214,-41.749,2003-12-10T13:00:00Z,,1
OXZ,10,Broadband Seismometer,172.038,-43.326,2009-03-14T13:00:00Z,,1
CSCP,,Short Period Seismometer,174.028595,-41.749699,2016-11-15T00:00:00Z,2017-06-01T23:59:59Z,0
CSWB,,Short Period Seismometer,174.126694,-41.5714,2016-11-15T00:00:00Z,2017-06-01T23:59:59Z,0
STAW,,Short Period Seismometer,174.006302,-41.633202,2016-11-15T00:00:00Z,2017-06-01T23:59:59Z,0
STWC,,Short Period Seismometer,174.159393,-41.838799,2016-11-15T00:00:00Z,2017-06-01T23:59:59Z,0
CRSZ,10,Short Period Seismometer,173.815,-42.145,2016-11-15T18:25:00Z,,0
PLWZ,10,Short Period Seismometer,175.255,-41.569,2007-04-18T12:00:00Z,,1
