Station code,Location,Type,Longitude,Latitude,Start,End
BHW,10,Short Period Seismometer,174.8711,-41.4082,2003-06-14T10:00:00Z,
BSWZ,10,Short Period Seismometer,173.8757,-41.7149,2003-12-09T00:00:00Z,
CAW,10,Short Period Seismometer,175.0664,-41.1072,2003-05-20T02:00:00Z,
DSZ,10,Broadband Seismometer,171.8046,-41.7450,1998-10-15T00:00:00Z,
DUWZ,10,Short Period Seismometer,173.9216,-40.8017,2003-12-10T00:00:00Z,
GVZ,10,Broadband Seismometer,173.0348,-42.9674,2012-12-04T05:00:00Z,
KHZ,10,Broadband Seismometer,173.5390,-42.4160,2003-08-06T00:00:00Z,
KIW,10,Short Period Seismometer,174.9097,-40.8609,2004-06-09T23:00:00Z,
LTZ,10,Broadband Seismometer,172.2710,-42.7817,2004-02-27T04:02:00Z,
MQZ,10,Broadband Seismometer,172.6538,-43.7061,1998-10-23T02:59:00Z,
MRNZ,10,Short Period Seismometer,172.7577,-41.3990,2015-04-02T00:00:05Z,
MTW,10,Short Period Seismometer,175.5016,-41.1579,2003-06-17T07:55:00Z,
NNZ,10,Broadband Seismometer,173.3795,-41.2171,2003-08-12T00:00:00Z,
OGWZ,10,Short Period Seismometer,175.1703,-40.8167,2007-09-24T01:15:00Z,
TCW,10,Short Period Seismometer,174.2763,-41.2104,2005-04-20T14:49:00Z,
THZ,10,Broadband Seismometer,172.9052,-41.7625,2003-08-08T03:21:00Z,
TKNZ,10,Short Period Seismometer,172.9605,-41.0336,2014-06-18T00:00:10Z,
TUWZ,10,Short Period Seismometer,173.9429,-41.4294,2004-05-05T00:00:00Z,
WEL,10,Broadband Seismometer,174.7682,-41.2840,2008-12-18T01:15:00Z,
